Starting epsilon decay: 0.997755
🔥 New best solution! Steps: 3113. Decay decreased to 0.997461
Episode 147 | Reward: 65.59999999999988 | Steps: 210 | Epsilon: 0.142 | Result: WIN | Decay: 0.992457 | Time: 0.0006s
Episode 148 | Reward: 78.59999999999997 | Steps: 134 | Epsilon: 0.141 | Result: WIN | Decay: 0.992457 | Time: 0.0003s
Episode 149 | Reward: 77.99999999999994 | Steps: 140 | Epsilon: 0.140 | Result: WIN | Decay: 0.992457 | Time: 0.0004s
🔥 New best solution! Steps: 95. Decay decreased to 0.992162
Episode 150 | Reward: 83.4 | Steps: 95 | Epsilon: 0.139 | Result: WIN | Decay: 0.992162 | Time: 0.0003s
Episode 151 | Reward: 72.59999999999994 | Steps: 149 | Epsilon: 0.138 | Result: WIN | Decay: 0.992162 | Time: 0.0004s
Episode 152 | Reward: 85.80000000000003 | Steps: 98 | Epsilon: 0.137 | Result: WIN | Decay: 0.992162 | Time: 0.0003s
Episode 153 | Reward: -27.999999999998238 | Steps: 849 | Epsilon: 0.135 | Result: WIN | Decay: 0.992162 | Time: 0.0022s
Episode 154 | Reward: 81.6 | Steps: 113 | Epsilon: 0.134 | Result: WIN | Decay: 0.992162 | Time: 0.0003s
Episode 155 | Reward: 74.39999999999992 | Steps: 149 | Epsilon: 0.133 | Result: WIN | Decay: 0.992162 | Time: 0.0004s
Episode 156 | Reward: 85.60000000000002 | Steps: 100 | Epsilon: 0.132 | Result: WIN | Decay: 0.992162 | Time: 0.0002s
Episode 157 | Reward: 86.80000000000001 | Steps: 97 | Epsilon: 0.131 | Result: WIN | Decay: 0.992162 | Time: 0.0002s
Episode 158 | Reward: 86.40000000000003 | Steps: 101 | Epsilon: 0.130 | Result: WIN | Decay: 0.992162 | Time: 0.0003s
Episode 159 | Reward: 84.80000000000003 | Steps: 99 | Epsilon: 0.129 | Result: WIN | Decay: 0.992162 | Time: 0.0003s
Episode 160 | Reward: 79.0 | Steps: 139 | Epsilon: 0.128 | Result: WIN | Decay: 0.992162 | Time: 0.0004s
🔥 New best solution! Steps: 70. Decay decreased to 0.991868
